_id,id_bank,id_city,address,address_ua,address_en,time,time_ua,time_en,position,position_ua,position_en,type,type_ua,type_en,latitude,longitude,comment
,12,16,"ул. киевская, 17","вул. київська, 17","st. Kiev, 17",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,49.240214,28.478521,
,8,16,"ул. киевская, 27","вул. київська, 27","st. Kiev, 27",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,"Фабрика, завод, организация",Фабрика ,Factory,49.242645,28.478115,
,9,16,"ул. киевская, 38 а","вул. київська, 38 а","st. Kiev, 38 and",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,49.241478,28.479113,
,1,16,"ул. киевская, 45","вул. київська, 45","st. Kiev, 45",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Банковское подразделение,банківський підрозділ,banking division,49.2484213,28.4762074,
,6,16,"ул. козицкого, 15","вул. Козицького, 15","st. Kozitskogo, 15",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,49.2356091,28.4701026,
,8,16,"ул. козицкого, 32","вул. Козицького, 32","st. Kozitskogo, 32",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Торговый центр,Торговий центр,shopping Center,49.2335578,28.4692171,
,6,16,"ул. красноармейская, 4","вул. червоноармійська, 4","st. Red Army, 4",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,49.243678,28.479758,
,4,16,"ул. лебединского, 11","вул. лебединського, 11","st. Lebedinsk, 11",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Банковское подразделение,банківський підрозділ,banking division,49.2301978,28.5093882,
,2,16,"ул. папанина, 1 а","вул. Папаніна, 1 а","st. Papanina, 1 and",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Другие или неподдающиеся классификации,Інші або не підлягають класифікації,Other or unclassifiable,49.2406809,28.5056372,
,8,16,"ул. пирогова, 112","вул. пирогова, 112","st. Pirogov, 112",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Торговый центр,Торговий центр,shopping Center,49.2189877,28.4370305,
,3,16,"ул. пирогова, 23","вул. пирогова, 23","st. Pirogov, 23",09:00 - 20:00,9:00 - 20:00,09:00 - 20:00,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,49.2298557,28.454283,
,1,16,"ул. пирогова, 23","вул. пирогова, 23","st. Pirogov, 23",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,49.2298557,28.454283,
,2,16,"ул. пирогова, 51","вул. пирогова, 51","st. Pirogov, 51",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Банковское подразделение,банківський підрозділ,banking division,49.225279,28.446711,
,2,16,"ул. пирогова, 56","вул. пирогова, 56","st. Pirogov, 56",08:00 - 20:00,8:00 - 20:00,08:00 - 20:00,Холл,Холл,Hall,"Фабрика, завод, организация",Фабрика ,Factory,49.227888,28.446296,
,13,16,"ул. пирогова, 6","вул. пирогова, 6","st. Pirogov, 6",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,49.231699,28.45574,
