201,Ровеньки
202,Рубежное
203,Свердловск
204,Северодонецк
205,Софиевский
206,Стаханов
207,Тошковка
208,Фащевка
209,Шахтерское
210,Бобрка
211,Броды
212,Глухов
213,Городок
214,Дрогобыч
215,Жовква
216,Камянка-Бусская
217,Липники
218,Львов
219,Меденичи
220,Межиречье
221,Мостиская
222,Нежухов
223,Новый Роздол
224,Перемышляны
225,Пустомыты
226,Радехов
227,Силец
228,Сколе
229,Славское
230,Сокаль
231,Сокольники
232,Стебник
233,Стрый
234,Трускавец
235,Червоноград
236,Щирець
237,Баштанка
238,Вознесенск
239,Николаев
240,Южноукраинск
241,Авангард
242,Белгород-Днестровский
243,Беляевка
244,Благодатное
245,Болград
246,Великодолинское
247,Заводское
248,Зеленогорское
249,Измаил
250,Ильичевск
251,Котовск
252,Любашовка
253,Одесса
254,Раздельная
255,Сергеевка
256,Теплодар
257,Фонтанка
258,Шабо
259,Южный
260,Байрак
261,Гильцы
262,Глобино
263,Гребенка
264,Зеньков
265,Карловка
266,Ковалевка
267,Комсомольск
268,Котельва
269,Кременчуг
270,Куйбышево
271,Лохвица
272,Лубны
273,Миргород
274,Новые Санжары
275,Пирятин
276,Полтава
277,Решетиловка
278,Ромодан
279,Ульяновка
280,Федоровка
281,Хорол
282,Чернухи
283,Чутово
284,Горбаков
285,Дубно
286,Зоря
287,Кузнецовск
288,Ровно
289,Ахтырка
290,Калининское
291,Комыши
292,Конотоп
293,Лебедин
294,Ромны
295,Сумы
296,Шостка
297,Збараж
298,Кременец
299,Лановцы
300,Почаев
301,Тернополь
302,Шумск
303,Балаклея
304,Волчанск
305,Дергачи
306,Змиев
307,Изюм
308,Коломак
309,Комсомольское
310,Красноград
311,Купянск
312,Лозовая
313,Люботин
314,Малиновка
315,Первомайский
316,Подворки
317,Сахновщина
318,Солоницевка
319,Харьков
320,Чугуев
321,Эсхар
322,Каховка
323,Новая Каховка
324,Херсон
325,Чаплынка
326,Белогорье
327,Каменец-Подольский
328,Красилов
329,Нетишин
330,Подволочиск
331,Староконстантинов
332,Хмельницкий
333,Чемеровцы
334,Шепетовка
335,Белозорье
336,Ватутино
337,Золотоноша
338,Канев
339,Корсары
340,Корсунь-Шевченковский
341,Крутьки
342,Смела
343,Умань
344,Худяки
345,Черкассы
346,Чернобай
347,Шпола
348,Городня
349,Ичня
350,Мена
351,Нежин
352,Прилуки
353,Чернигов
354,Новоднестровск
355,Черновцы
